english	translation	category	sub_category	source
(Accurate) (Standard) (Slash) (Defence XP)	(Pontos) (Normál) (Csapás) (Védelem XP)	interface	mainTabs	combatOptionsTab
(Accurate) (Standard) (Slash) (Shared XP)	(Pontos) (Normál) (Csapás) (Megosztott XP)	interface	mainTabs	combatOptionsTab
(Accurate) (Standard) (Crush) (Attack XP)	(Pontos) (Normál) (Zúzás) (Támadás XP)	interface	mainTabs	combatOptionsTab
(Accurate) (Standard) (Crush) (Strength XP)	(Pontos) (Normál) (Zúzás) (Erő XP)	interface	mainTabs	combatOptionsTab
(Accurate) (Standard) (Crush) (Defence XP)	(Pontos) (Normál) (Zúzás) (Védelem XP)	interface	mainTabs	combatOptionsTab
(Accurate) (Standard) (Crush) (Shared XP)	(Pontos) (Normál) (Zúzás) (Megosztott XP)	interface	mainTabs	combatOptionsTab
(Aggressive) (Stab) (Attack XP)	(Agresszív) (Szúrás) (Támadás XP)	interface	mainTabs	combatOptionsTab
(Aggressive) (Stab) (Strength XP)	(Agresszív) (Szúrás) (Erő XP)	interface	mainTabs	combatOptionsTab
(Aggressive) (Stab) (Defence XP)	(Agresszív) (Szúrás) (Védelem XP)	interface	mainTabs	combatOptionsTab
(Aggressive) (Stab) (Shared XP)	(Agresszív) (Szúrás) (Megosztott XP)	interface	mainTabs	combatOptionsTab
(Aggressive) (Slash) (Attack XP)	(Agresszív) (Csapás) (Támadás XP)	interface	mainTabs	combatOptionsTab
(Aggressive) (Slash) (Strength XP)	(Agresszív) (Csapás) (Erő XP)	interface	mainTabs	combatOptionsTab
(Aggressive) (Slash) (Defence XP)	(Agresszív) (Csapás) (Védelem XP)	interface	mainTabs	combatOptionsTab
(Aggressive) (Slash) (Shared XP)	(Agresszív) (Csapás) (Megosztott XP)	interface	mainTabs	combatOptionsTab
(Aggressive) (Crush) (Attack XP)	(Agresszív) (Zúzás) (Támadás XP)	interface	mainTabs	combatOptionsTab
(Aggressive) (Crush) (Strength XP)	(Agresszív) (Zúzás) (Erő XP)	interface	mainTabs	combatOptionsTab
(Aggressive) (Crush) (Defence XP)	(Agresszív) (Zúzás) (Védelem XP)	interface	mainTabs	combatOptionsTab
(Aggressive) (Crush) (Shared XP)	(Agresszív) (Zúzás) (Megosztott XP)	interface	mainTabs	combatOptionsTab
(Aggressive) (Heavy) (Stab) (Attack XP)	(Agresszív) (Nehéz) (Szúrás) (Támadás XP)	interface	mainTabs	combatOptionsTab
(Aggressive) (Heavy) (Stab) (Strength XP)	(Agresszív) (Nehéz) (Szúrás) (Erő XP)	interface	mainTabs	combatOptionsTab
(Aggressive) (Heavy) (Stab) (Defence XP)	(Agresszív) (Nehéz) (Szúrás) (Védelem XP)	interface	mainTabs	combatOptionsTab
(Aggressive) (Heavy) (Stab) (Shared XP)	(Agresszív) (Nehéz) (Szúrás) (Megosztott XP)	interface	mainTabs	combatOptionsTab
(Aggressive) (Heavy) (Slash) (Attack XP)	(Agresszív) (Nehéz) (Csapás) (Támadás XP)	interface	mainTabs	combatOptionsTab
(Aggressive) (Heavy) (Slash) (Strength XP)	(Agresszív) (Nehéz) (Csapás) (Erő XP)	interface	mainTabs	combatOptionsTab
(Aggressive) (Heavy) (Slash) (Defence XP)	(Agresszív) (Nehéz) (Csapás) (Védelem XP)	interface	mainTabs	combatOptionsTab
(Aggressive) (Heavy) (Slash) (Shared XP)	(Agresszív) (Nehéz) (Csapás) (Megosztott XP)	interface	mainTabs	combatOptionsTab
(Aggressive) (Heavy) (Crush) (Attack XP)	(Agresszív) (Nehéz) (Zúzás) (Támadás XP)	interface	mainTabs	combatOptionsTab
(Aggressive) (Heavy) (Crush) (Strength XP)	(Agresszív) (Nehéz) (Zúzás) (Erő XP)	interface	mainTabs	combatOptionsTab
(Aggressive) (Heavy) (Crush) (Defence XP)	(Agresszív) (Nehéz) (Zúzás) (Védelem XP)	interface	mainTabs	combatOptionsTab
(Aggressive) (Heavy) (Crush) (Shared XP)	(Agresszív) (Nehéz) (Zúzás) (Megosztott XP)	interface	mainTabs	combatOptionsTab
(Aggressive) (Light) (Stab) (Attack XP)	(Agresszív) (Könnyű) (Szúrás) (Támadás XP)	interface	mainTabs	combatOptionsTab
(Aggressive) (Light) (Stab) (Strength XP)	(Agresszív) (Könnyű) (Szúrás) (Erő XP)	interface	mainTabs	combatOptionsTab
(Aggressive) (Light) (Stab) (Defence XP)	(Agresszív) (Könnyű) (Szúrás) (Védelem XP)	interface	mainTabs	combatOptionsTab
(Aggressive) (Light) (Stab) (Shared XP)	(Agresszív) (Könnyű) (Szúrás) (Megosztott XP)	interface	mainTabs	combatOptionsTab
(Aggressive) (Light) (Slash) (Attack XP)	(Agresszív) (Könnyű) (Csapás) (Támadás XP)	interface	mainTabs	combatOptionsTab
(Aggressive) (Light) (Slash) (Strength XP)	(Agresszív) (Könnyű) (Csapás) (Erő XP)	interface	mainTabs	combatOptionsTab
(Aggressive) (Light) (Slash) (Defence XP)	(Agresszív) (Könnyű) (Csapás) (Védelem XP)	interface	mainTabs	combatOptionsTab
(Aggressive) (Light) (Slash) (Shared XP)	(Agresszív) (Könnyű) (Csapás) (Megosztott XP)	interface	mainTabs	combatOptionsTab
(Aggressive) (Light) (Crush) (Attack XP)	(Agresszív) (Könnyű) (Zúzás) (Támadás XP)	interface	mainTabs	combatOptionsTab
(Aggressive) (Light) (Crush) (Strength XP)	(Agresszív) (Könnyű) (Zúzás) (Erő XP)	interface	mainTabs	combatOptionsTab
(Aggressive) (Light) (Crush) (Defence XP)	(Agresszív) (Könnyű) (Zúzás) (Védelem XP)	interface	mainTabs	combatOptionsTab
(Aggressive) (Light) (Crush) (Shared XP)	(Agresszív) (Könnyű) (Zúzás) (Megosztott XP)	interface	mainTabs	combatOptionsTab
(Aggressive) (Standard) (Stab) (Attack XP)	(Agresszív) (Normál) (Szúrás) (Támadás XP)	interface	mainTabs	combatOptionsTab
(Aggressive) (Standard) (Stab) (Strength XP)	(Agresszív) (Normál) (Szúrás) (Erő XP)	interface	mainTabs	combatOptionsTab
(Aggressive) (Standard) (Stab) (Defence XP)	(Agresszív) (Normál) (Szúrás) (Védelem XP)	interface	mainTabs	combatOptionsTab
(Aggressive) (Standard) (Stab) (Shared XP)	(Agresszív) (Normál) (Szúrás) (Megosztott XP)	interface	mainTabs	combatOptionsTab
(Aggressive) (Standard) (Slash) (Attack XP)	(Agresszív) (Normál) (Csapás) (Támadás XP)	interface	mainTabs	combatOptionsTab
(Aggressive) (Standard) (Slash) (Strength XP)	(Agresszív) (Normál) (Csapás) (Erő XP)	interface	mainTabs	combatOptionsTab
(Aggressive) (Standard) (Slash) (Defence XP)	(Agresszív) (Normál) (Csapás) (Védelem XP)	interface	mainTabs	combatOptionsTab
(Aggressive) (Standard) (Slash) (Shared XP)	(Agresszív) (Normál) (Csapás) (Megosztott XP)	interface	mainTabs	combatOptionsTab
(Aggressive) (Standard) (Crush) (Attack XP)	(Agresszív) (Normál) (Zúzás) (Támadás XP)	interface	mainTabs	combatOptionsTab
(Aggressive) (Standard) (Crush) (Strength XP)	(Agresszív) (Normál) (Zúzás) (Erő XP)	interface	mainTabs	combatOptionsTab
(Aggressive) (Standard) (Crush) (Defence XP)	(Agresszív) (Normál) (Zúzás) (Védelem XP)	interface	mainTabs	combatOptionsTab
(Aggressive) (Standard) (Crush) (Shared XP)	(Agresszív) (Normál) (Zúzás) (Megosztott XP)	interface	mainTabs	combatOptionsTab
(Defensive) (Stab) (Attack XP)	(Védekező) (Szúrás) (Támadás XP)	interface	mainTabs	combatOptionsTab
(Defensive) (Stab) (Strength XP)	(Védekező) (Szúrás) (Erő XP)	interface	mainTabs	combatOptionsTab
(Defensive) (Stab) (Defence XP)	(Védekező) (Szúrás) (Védelem XP)	interface	mainTabs	combatOptionsTab
(Defensive) (Stab) (Shared XP)	(Védekező) (Szúrás) (Megosztott XP)	interface	mainTabs	combatOptionsTab
(Defensive) (Slash) (Attack XP)	(Védekező) (Csapás) (Támadás XP)	interface	mainTabs	combatOptionsTab
(Defensive) (Slash) (Strength XP)	(Védekező) (Csapás) (Erő XP)	interface	mainTabs	combatOptionsTab
(Defensive) (Slash) (Defence XP)	(Védekező) (Csapás) (Védelem XP)	interface	mainTabs	combatOptionsTab
(Defensive) (Slash) (Shared XP)	(Védekező) (Csapás) (Megosztott XP)	interface	mainTabs	combatOptionsTab
(Defensive) (Crush) (Attack XP)	(Védekező) (Zúzás) (Támadás XP)	interface	mainTabs	combatOptionsTab
(Defensive) (Crush) (Strength XP)	(Védekező) (Zúzás) (Erő XP)	interface	mainTabs	combatOptionsTab
(Defensive) (Crush) (Defence XP)	(Védekező) (Zúzás) (Védelem XP)	interface	mainTabs	combatOptionsTab
(Defensive) (Crush) (Shared XP)	(Védekező) (Zúzás) (Megosztott XP)	interface	mainTabs	combatOptionsTab
(Defensive) (Heavy) (Stab) (Attack XP)	(Védekező) (Nehéz) (Szúrás) (Támadás XP)	interface	mainTabs	combatOptionsTab
(Defensive) (Heavy) (Stab) (Strength XP)	(Védekező) (Nehéz) (Szúrás) (Erő XP)	interface	mainTabs	combatOptionsTab
(Defensive) (Heavy) (Stab) (Defence XP)	(Védekező) (Nehéz) (Szúrás) (Védelem XP)	interface	mainTabs	combatOptionsTab
(Defensive) (Heavy) (Stab) (Shared XP)	(Védekező) (Nehéz) (Szúrás) (Megosztott XP)	interface	mainTabs	combatOptionsTab
(Defensive) (Heavy) (Slash) (Attack XP)	(Védekező) (Nehéz) (Csapás) (Támadás XP)	interface	mainTabs	combatOptionsTab
(Defensive) (Heavy) (Slash) (Strength XP)	(Védekező) (Nehéz) (Csapás) (Erő XP)	interface	mainTabs	combatOptionsTab
(Defensive) (Heavy) (Slash) (Defence XP)	(Védekező) (Nehéz) (Csapás) (Védelem XP)	interface	mainTabs	combatOptionsTab
(Defensive) (Heavy) (Slash) (Shared XP)	(Védekező) (Nehéz) (Csapás) (Megosztott XP)	interface	mainTabs	combatOptionsTab
(Defensive) (Heavy) (Crush) (Attack XP)	(Védekező) (Nehéz) (Zúzás) (Támadás XP)	interface	mainTabs	combatOptionsTab
(Defensive) (Heavy) (Crush) (Strength XP)	(Védekező) (Nehéz) (Zúzás) (Erő XP)	interface	mainTabs	combatOptionsTab
(Defensive) (Heavy) (Crush) (Defence XP)	(Védekező) (Nehéz) (Zúzás) (Védelem XP)	interface	mainTabs	combatOptionsTab
(Defensive) (Heavy) (Crush) (Shared XP)	(Védekező) (Nehéz) (Zúzás) (Megosztott XP)	interface	mainTabs	combatOptionsTab
(Defensive) (Light) (Stab) (Attack XP)	(Védekező) (Könnyű) (Szúrás) (Támadás XP)	interface	mainTabs	combatOptionsTab
(Defensive) (Light) (Stab) (Strength XP)	(Védekező) (Könnyű) (Szúrás) (Erő XP)	interface	mainTabs	combatOptionsTab
(Defensive) (Light) (Stab) (Defence XP)	(Védekező) (Könnyű) (Szúrás) (Védelem XP)	interface	mainTabs	combatOptionsTab
(Defensive) (Light) (Stab) (Shared XP)	(Védekező) (Könnyű) (Szúrás) (Megosztott XP)	interface	mainTabs	combatOptionsTab
(Defensive) (Light) (Slash) (Attack XP)	(Védekező) (Könnyű) (Csapás) (Támadás XP)	interface	mainTabs	combatOptionsTab
(Defensive) (Light) (Slash) (Strength XP)	(Védekező) (Könnyű) (Csapás) (Erő XP)	interface	mainTabs	combatOptionsTab
(Defensive) (Light) (Slash) (Defence XP)	(Védekező) (Könnyű) (Csapás) (Védelem XP)	interface	mainTabs	combatOptionsTab
(Defensive) (Light) (Slash) (Shared XP)	(Védekező) (Könnyű) (Csapás) (Megosztott XP)	interface	mainTabs	combatOptionsTab
(Defensive) (Light) (Crush) (Attack XP)	(Védekező) (Könnyű) (Zúzás) (Támadás XP)	interface	mainTabs	combatOptionsTab
(Defensive) (Light) (Crush) (Strength XP)	(Védekező) (Könnyű) (Zúzás) (Erő XP)	interface	mainTabs	combatOptionsTab
(Defensive) (Light) (Crush) (Defence XP)	(Védekező) (Könnyű) (Zúzás) (Védelem XP)	interface	mainTabs	combatOptionsTab
(Defensive) (Light) (Crush) (Shared XP)	(Védekező) (Könnyű) (Zúzás) (Megosztott XP)	interface	mainTabs	combatOptionsTab
(Defensive) (Standard) (Stab) (Attack XP)	(Védekező) (Normál) (Szúrás) (Támadás XP)	interface	mainTabs	combatOptionsTab
(Defensive) (Standard) (Stab) (Strength XP)	(Védekező) (Normál) (Szúrás) (Erő XP)	interface	mainTabs	combatOptionsTab
(Defensive) (Standard) (Stab) (Defence XP)	(Védekező) (Normál) (Szúrás) (Védelem XP)	interface	mainTabs	combatOptionsTab
(Defensive) (Standard) (Stab) (Shared XP)	(Védekező) (Normál) (Szúrás) (Megosztott XP)	interface	mainTabs	combatOptionsTab
(Defensive) (Standard) (Slash) (Attack XP)	(Védekező) (Normál) (Csapás) (Támadás XP)	interface	mainTabs	combatOptionsTab
(Defensive) (Standard) (Slash) (Strength XP)	(Védekező) (Normál) (Csapás) (Erő XP)	interface	mainTabs	combatOptionsTab
(Defensive) (Standard) (Slash) (Defence XP)	(Védekező) (Normál) (Csapás) (Védelem XP)	interface	mainTabs	combatOptionsTab
(Defensive) (Standard) (Slash) (Shared XP)	(Védekező) (Normál) (Csapás) (Megosztott XP)	interface	mainTabs	combatOptionsTab
(Defensive) (Standard) (Crush) (Attack XP)	(Védekező) (Normál) (Zúzás) (Támadás XP)	interface	mainTabs	combatOptionsTab
(Defensive) (Standard) (Crush) (Strength XP)	(Védekező) (Normál) (Zúzás) (Erő XP)	interface	mainTabs	combatOptionsTab
(Defensive) (Standard) (Crush) (Defence XP)	(Védekező) (Normál) (Zúzás) (Védelem XP)	interface	mainTabs	combatOptionsTab
(Defensive) (Standard) (Crush) (Shared XP)	(Védekező) (Normál) (Zúzás) (Megosztott XP)	interface	mainTabs	combatOptionsTab
(Controlled) (Stab) (Attack XP)	(Irányított) (Szúrás) (Támadás XP)	interface	mainTabs	combatOptionsTab
(Controlled) (Stab) (Strength XP)	(Irányított) (Szúrás) (Erő XP)	interface	mainTabs	combatOptionsTab
(Controlled) (Stab) (Defence XP)	(Irányított) (Szúrás) (Védelem XP)	interface	mainTabs	combatOptionsTab
(Controlled) (Stab) (Shared XP)	(Irányított) (Szúrás) (Megosztott XP)	interface	mainTabs	combatOptionsTab
(Controlled) (Slash) (Attack XP)	(Irányított) (Csapás) (Támadás XP)	interface	mainTabs	combatOptionsTab
(Controlled) (Slash) (Strength XP)	(Irányított) (Csapás) (Erő XP)	interface	mainTabs	combatOptionsTab
(Controlled) (Slash) (Defence XP)	(Irányított) (Csapás) (Védelem XP)	interface	mainTabs	combatOptionsTab
(Controlled) (Slash) (Shared XP)	(Irányított) (Csapás) (Megosztott XP)	interface	mainTabs	combatOptionsTab
(Controlled) (Crush) (Attack XP)	(Irányított) (Zúzás) (Támadás XP)	interface	mainTabs	combatOptionsTab
(Controlled) (Crush) (Strength XP)	(Irányított) (Zúzás) (Erő XP)	interface	mainTabs	combatOptionsTab
(Controlled) (Crush) (Defence XP)	(Irányított) (Zúzás) (Védelem XP)	interface	mainTabs	combatOptionsTab
(Controlled) (Crush) (Shared XP)	(Irányított) (Zúzás) (Megosztott XP)	interface	mainTabs	combatOptionsTab
(Controlled) (Heavy) (Stab) (Attack XP)	(Irányított) (Nehéz) (Szúrás) (Támadás XP)	interface	mainTabs	combatOptionsTab
(Controlled) (Heavy) (Stab) (Strength XP)	(Irányított) (Nehéz) (Szúrás) (Erő XP)	interface	mainTabs	combatOptionsTab
(Controlled) (Heavy) (Stab) (Defence XP)	(Irányított) (Nehéz) (Szúrás) (Védelem XP)	interface	mainTabs	combatOptionsTab
(Controlled) (Heavy) (Stab) (Shared XP)	(Irányított) (Nehéz) (Szúrás) (Megosztott XP)	interface	mainTabs	combatOptionsTab
(Controlled) (Heavy) (Slash) (Attack XP)	(Irányított) (Nehéz) (Csapás) (Támadás XP)	interface	mainTabs	combatOptionsTab
(Controlled) (Heavy) (Slash) (Strength XP)	(Irányított) (Nehéz) (Csapás) (Erő XP)	interface	mainTabs	combatOptionsTab
(Controlled) (Heavy) (Slash) (Defence XP)	(Irányított) (Nehéz) (Csapás) (Védelem XP)	interface	mainTabs	combatOptionsTab
(Controlled) (Heavy) (Slash) (Shared XP)	(Irányított) (Nehéz) (Csapás) (Megosztott XP)	interface	mainTabs	combatOptionsTab
(Controlled) (Heavy) (Crush) (Attack XP)	(Irányított) (Nehéz) (Zúzás) (Támadás XP)	interface	mainTabs	combatOptionsTab
(Controlled) (Heavy) (Crush) (Strength XP)	(Irányított) (Nehéz) (Zúzás) (Erő XP)	interface	mainTabs	combatOptionsTab
(Controlled) (Heavy) (Crush) (Defence XP)	(Irányított) (Nehéz) (Zúzás) (Védelem XP)	interface	mainTabs	combatOptionsTab
(Controlled) (Heavy) (Crush) (Shared XP)	(Irányított) (Nehéz) (Zúzás) (Megosztott XP)	interface	mainTabs	combatOptionsTab
(Controlled) (Light) (Stab) (Attack XP)	(Irányított) (Könnyű) (Szúrás) (Támadás XP)	interface	mainTabs	combatOptionsTab
(Controlled) (Light) (Stab) (Strength XP)	(Irányított) (Könnyű) (Szúrás) (Erő XP)	interface	mainTabs	combatOptionsTab
(Controlled) (Light) (Stab) (Defence XP)	(Irányított) (Könnyű) (Szúrás) (Védelem XP)	interface	mainTabs	combatOptionsTab
(Controlled) (Light) (Stab) (Shared XP)	(Irányított) (Könnyű) (Szúrás) (Megosztott XP)	interface	mainTabs	combatOptionsTab
(Controlled) (Light) (Slash) (Attack XP)	(Irányított) (Könnyű) (Csapás) (Támadás XP)	interface	mainTabs	combatOptionsTab
(Controlled) (Light) (Slash) (Strength XP)	(Irányított) (Könnyű) (Csapás) (Erő XP)	interface	mainTabs	combatOptionsTab
(Controlled) (Light) (Slash) (Defence XP)	(Irányított) (Könnyű) (Csapás) (Védelem XP)	interface	mainTabs	combatOptionsTab
(Controlled) (Light) (Slash) (Shared XP)	(Irányított) (Könnyű) (Csapás) (Megosztott XP)	interface	mainTabs	combatOptionsTab
(Controlled) (Light) (Crush) (Attack XP)	(Irányított) (Könnyű) (Zúzás) (Támadás XP)	interface	mainTabs	combatOptionsTab
(Controlled) (Light) (Crush) (Strength XP)	(Irányított) (Könnyű) (Zúzás) (Erő XP)	interface	mainTabs	combatOptionsTab
(Controlled) (Light) (Crush) (Defence XP)	(Irányított) (Könnyű) (Zúzás) (Védelem XP)	interface	mainTabs	combatOptionsTab
(Controlled) (Light) (Crush) (Shared XP)	(Irányított) (Könnyű) (Zúzás) (Megosztott XP)	interface	mainTabs	combatOptionsTab
(Controlled) (Standard) (Stab) (Attack XP)	(Irányított) (Normál) (Szúrás) (Támadás XP)	interface	mainTabs	combatOptionsTab
(Controlled) (Standard) (Stab) (Strength XP)	(Irányított) (Normál) (Szúrás) (Erő XP)	interface	mainTabs	combatOptionsTab
(Controlled) (Standard) (Stab) (Defence XP)	(Irányított) (Normál) (Szúrás) (Védelem XP)	interface	mainTabs	combatOptionsTab
(Controlled) (Standard) (Stab) (Shared XP)	(Irányított) (Normál) (Szúrás) (Megosztott XP)	interface	mainTabs	combatOptionsTab
(Controlled) (Standard) (Slash) (Attack XP)	(Irányított) (Normál) (Csapás) (Támadás XP)	interface	mainTabs	combatOptionsTab
(Controlled) (Standard) (Slash) (Strength XP)	(Irányított) (Normál) (Csapás) (Erő XP)	interface	mainTabs	combatOptionsTab
(Controlled) (Standard) (Slash) (Defence XP)	(Irányított) (Normál) (Csapás) (Védelem XP)	interface	mainTabs	combatOptionsTab
